Alberto Alberto
Martinez
Leon
480385209
Calle del Sol, 44, Colonia Lomas de Chapultepec, 11000, Alcaldia Miguel Hidalgo, Mexico
albertoalberto.martinezleon@fi.unam
7.725
26
8
40
39
6
1120,9.0,1,1
1121,7.0,3,2
1122,9.0,4,2
1123,7.0,1,1
1130,9.0,3,3
1124,7.0,5,3
1220,7.0,5,2
1221,7.0,2,2
1227,6.0,2,3
1228,8.0,4,1
1317,10.0,4,1
1321,7.0,6,3
1323,9.0,3,1
1325,7.0,4,3
1436,7.0,4,3
0119,8.0,5,1
1414,10.0,4,2
1424,10.0,7,2
1433,7.0,7,1
1445,7.0,4,2
0138,8.0,7,2
0442,7.0,7,3
1473,7.0,5,3
1503,7.0,5,1
1531,7.0,5,3
0840,8.0,7,1
1562,10.0,8,1
1643,6.0,6,1
1644,8.0,8,1
1645,8.0,7,2
0406,5.0,8,3
0434,8.0,8,2
1535,7.0,7,1
1537,7.0,7,3
1686,7.0,7,1
1052,8.0,8,3
1413,9.0,8,3
1590,9.0,8,3
1598,8.0,8,1
1672,7.0,8,3
