David
Lopez
Paredes
480422082
Calle Morelos, 299, Colonia Condesa, 06140, Alcaldia Cuauhtemoc, Mexico
david.lopezparedes@fi.unam
7.2
26
6
30
28
5
1120,7.0,4,2
1121,7.0,4,2
1122,8.0,3,3
1123,9.0,3,2
1130,7.0,1,3
1124,7.0,5,3
1220,7.0,3,3
1221,7.0,3,2
1227,8.0,2,1
1228,7.0,3,2
1317,9.0,6,3
1321,6.0,6,1
1323,6.0,3,1
1325,8.0,3,2
1436,8.0,5,3
0119,6.0,5,1
1414,6.0,5,3
1424,7.0,5,1
1433,7.0,5,1
1445,5.0,6,1
0138,5.0,6,2
0442,9.0,5,3
1473,6.0,6,1
1503,7.0,5,1
1531,8.0,6,3
0840,7.0,6,3
1562,9.0,6,1
1643,9.0,6,2
1644,7.0,6,1
1645,7.0,6,2
