Santiago Julieta
Medina
Vargas
480741035
Calle Antonio Maceo, 35, Colonia San Pedro de los Pinos, 01180, Alcaldia Alvaro Obregon, Mexico
santiagojulieta.medinavargas@fi.unam
7.114286
22
7
35
32
9
1120,7.0,3,1
1121,9.0,4,2
1122,8.0,1,1
1123,7.0,1,3
1130,9.0,3,2
1124,7.0,2,3
1220,9.0,3,3
1221,7.0,3,3
1227,7.0,3,2
1228,7.0,4,1
1317,7.0,5,1
1321,6.0,3,3
1323,9.0,4,1
1325,7.0,3,1
1436,7.0,4,2
0119,8.0,5,3
1414,7.0,6,3
1424,7.0,5,3
1433,7.0,7,3
1445,7.0,5,3
0138,8.0,5,1
0442,6.0,7,1
1473,5.0,7,1
1503,7.0,7,1
1531,7.0,6,3
0840,5.0,7,2
1562,6.0,6,1
1643,7.0,7,2
1644,7.0,6,2
1645,7.0,7,3
0406,9.0,7,1
0434,7.0,7,1
1535,7.0,7,3
1537,7.0,7,2
1686,5.0,7,3
