Berta
Paredes
Nunez
480998633
Avenida Coyoacan, 784, Colonia Coyoacan, 04000, Alcaldia Coyoacan, Mexico
berta.paredesnunez@fi.unam
7.05
26
8
40
38
10
1120,9.0,4,1
1121,7.0,1,2
1122,6.0,3,2
1123,9.0,2,3
1130,10.0,1,2
1124,7.0,4,1
1220,7.0,2,3
1221,7.0,4,1
1227,7.0,2,1
1228,7.0,4,3
1317,6.0,5,3
1321,6.0,3,2
1323,6.0,4,1
1325,7.0,5,2
1436,8.0,4,2
0119,7.0,6,3
1414,6.0,7,1
1424,6.0,6,3
1433,6.0,4,2
1445,9.0,4,2
0138,8.0,8,2
0442,8.0,6,3
1473,7.0,6,2
1503,7.0,7,1
1531,6.0,6,1
0840,7.0,7,1
1562,7.0,7,1
1643,7.0,8,1
1644,6.0,6,3
1645,7.0,6,2
0406,8.0,7,3
0434,7.0,8,3
1535,6.0,7,3
1537,9.0,8,1
1686,7.0,7,3
1052,5.0,8,2
1413,9.0,8,1
1590,6.0,8,3
1598,5.0,8,3
1672,7.0,8,2
