Claudia
Parra
Vazquez
480740894
Calle Copilco, 123, Colonia Copilco, 04510, Alcaldia Coyoacan, Mexico
claudia.parravazquez@fi.unam
7.9
25
8
40
40
2
1120,10.0,2,1
1121,10.0,4,2
1122,7.0,3,1
1123,7.0,4,2
1130,10.0,2,1
1124,9.0,5,3
1220,7.0,2,1
1221,9.0,4,3
1227,9.0,4,1
1228,7.0,4,2
1317,8.0,3,1
1321,7.0,6,3
1323,7.0,5,3
1325,10.0,6,1
1436,8.0,6,3
0119,7.0,4,1
1414,8.0,4,1
1424,7.0,7,2
1433,9.0,6,1
1445,7.0,6,2
0138,10.0,6,2
0442,9.0,8,3
1473,7.0,7,2
1503,9.0,8,2
1531,7.0,8,3
0840,6.0,6,3
1562,7.0,7,3
1643,7.0,6,2
1644,7.0,8,1
1645,8.0,8,3
0406,8.0,8,3
0434,7.0,7,3
1535,8.0,8,1
1537,6.0,8,2
1686,7.0,7,3
1052,8.0,8,3
1413,8.0,8,2
1590,7.0,8,1
1598,8.0,8,2
1672,9.0,8,1
